ID_Linha,ID_Pedido,Data_Pedido,Data_Envio,Modo_Envio,ID_Cliente,Nome_Cliente,Segmento,Pais,Cidade,Estado,Cep,Regiao,ID_Produto,Categoria,SubCategoria,Nome_Produto,Preco_Dolar,Preco,Quantidade,Desconto,Lucro,"4,97"
1,CA-2016-152156,08/11/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumidor,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Mobiliário,Bookcases,Bush Somerset Collection Bookcase,"261,96","1301,9412",2,0,"41,9136",
2,CA-2016-152156,08/11/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumidor,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Mobiliário,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","731,94","3637,7418",3,0,"219,582",
3,CA-2016-138688,12/06/2016,16/06/2016,Second Class,DV-13045,Darrin Van Huff,Corporativo ,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Material de escritório,Labels,Self-Adhesive Address Labels for Typewriters by Universal,"14,62","72,6614",2,0,"6,8714",
4,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,Sean O'Donnell,Consumidor,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Mobiliário,Tables,Bretford CR4500 Series Slim Rectangular Table,"957,5775","4759,160175",5,"0,45","-383,031",
5,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,Sean O'Donnell,Consumidor,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Material de escritório,Storage,Eldon Fold 'N Roll Cart System,"22,368","111,16896",2,"0,2","2,5164",
6,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Mobiliário,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","48,86","242,8342",7,0,"14,1694",
7,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Material de escritório,Art,Newell 322,"7,28","36,1816",4,0,"1,9656",
8,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Tecnologia ,Phones,Mitel 5320 IP Phone VoIP phone,"907,152","4508,54544",6,"0,2","90,7152",
9,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Material de escritório,Binders,DXL Angle-View Binders with Locking Rings by Samsill,"18,504","91,96488",3,"0,2","5,7825",
10,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Material de escritório,Appliances,Belkin F5C206VTEL 6 Outlet Surge,"114,9","571,053",5,0,"34,47",
